farmer_id,application_year,district,land_area_acres,crop_type,pm_kisan_status,historical_repayment_score,irrigation_type,land_ownership,soil_type,sales_channel,annual_income_inr,liability_ratio_pct,rainfall_deviation_pct,ndvi_score,defaulted_in_next_12_months,target_entitlement_score
F00001,2023,Cuttack,16.71,Soybean,Yes,59.77,Irrigated,Owned,Black,APMC,377500.53,41.14,-13.64,0.466,0,875.28
F00002,2022,Puri,11.72,Wheat,Yes,60.84,Rainfed,Owned,Alluvial,FPO,384595.39,5.51,-24.46,0.5,0,887.92
F00003,2023,Puri,10.44,Soybean,Yes,54.06,Rainfed,Owned,Laterite,Contract Buyer,223024.07,2.93,-9.77,0.789,1,412.26
F00004,2023,Mayurbhanj,6.72,Cotton,Yes,45.04,Irrigated,Owned,Clay Loam,Local Trader,417534.25,20.08,32.19,0.459,0,780.02
F00005,2023,Ganjam,11.28,Wheat,No,57.73,Irrigated,Owned,Laterite,Local Trader,206349.85,8.8,7.41,0.56,1,356.6
F00006,2022,Bhadrak,5.3,Cotton,Yes,71.88,Rainfed,Owned,Clay Loam,APMC,443127.34,27.86,-10.0,0.531,0,809.58
F00007,2022,Mayurbhanj,17.38,Sugarcane,Yes,97.57,Rainfed,Tenant,Clay Loam,Contract Buyer,533723.97,1.19,0.07,0.543,0,919.87
F00008,2022,Ganjam,12.48,Rice,No,46.34,Rainfed,Owned,Black,Local Trader,574385.99,8.26,-8.11,0.434,1,325.05
F00009,2023,Mayurbhanj,8.22,Cotton,Yes,63.89,Irrigated,Owned,Laterite,Local Trader,309133.02,19.1,1.59,0.734,0,818.57
F00010,2023,Cuttack,0.51,Rice,Yes,80.28,Rainfed,Owned,Clay Loam,Contract Buyer,210528.42,14.7,-6.22,0.42,0,825.91
F00011,2024,Mayurbhanj,10.35,Sugarcane,No,36.13,Irrigated,Tenant,Laterite,APMC,612313.2,1.18,-6.76,0.486,0,680.09
F00012,2022,Cuttack,14.69,Wheat,No,57.73,Irrigated,Tenant,Red,Contract Buyer,153747.88,20.67,26.32,0.567,0,789.4
F00013,2023,Puri,8.61,Millets,Yes,84.69,Irrigated,Tenant,Black,APMC,241165.76,20.72,41.46,0.382,0,924.36
F00014,2024,Balasore,8.85,Maize,Yes,70.03,Irrigated,Owned,Red,FPO,525358.13,41.67,15.17,0.715,0,877.66
F00015,2022,Ganjam,9.65,Rice,Yes,61.41,Irrigated,Tenant,Red,FPO,477743.44,31.53,3.18,0.5,0,861.5
F00016,2024,Bhadrak,4.36,Soybean,No,64.56,Rainfed,Tenant,Sandy Loam,Local Trader,369996.79,6.29,-20.53,0.595,0,722.67
F00017,2022,Balasore,14.0,Sugarcane,Yes,43.97,Irrigated,Tenant,Laterite,APMC,404872.87,25.02,-2.11,0.446,0,790.24
